# Epicenters of shear wave splitting measurements at recording station BFO
longitude	latitude	moment_magnitude	hypocentral_depth_km
-64.97	-20.12	6.17465426732875	352.7
148.33	-0.88	6.17401723812875	10
-13.2	-58.31	6.1727389594316	10
139.68	-2.42	6.17016534555611	16.2
152.71	-4.36	6.17016534555611	33
110.63	-10.2	6.1695183516453	23
-67.18	-31.75	6.16573700540278	141.8
-66.64	-22.97	6.16560572920257	220.4
147.29	-6.67	6.16402575445168	53
-80.09	-44.81	6.16230432906973	10
-28.9	-55.9	6.16230432906973	36
102.1	-4.96	6.16230432906973	33
-72.41	-15.88	6.16163950752711	110
141.51	12.23	6.15976984458883	10
121.5	8.6	6.15963583410062	37.8
-66	-22.33	6.15842694025831	254
121.33	-1.2	6.1582923066104	10
-68.96	-20.04	6.15599390363295	120
-71.22	-30.74	6.15558640229249	45
145.01	18.86	6.15558640229249	580
-72.07	-12.03	6.15422390728583	33
126.55	6.26	6.15299215553844	90.2
150.51	-3.38	6.15230557789965	13.4
-107.3	18.78	6.15161736827064	20
-72.24	-32.41	6.15078935153488	8.6
-73.06	-45.38	6.14773286806257	4.9
-70.44	-15.04	6.14633281864877	198.9
122.6	-7.83	6.14548952779648	264.8
135.11	-3.18	6.14534874021549	21
111.86	-6.06	6.14464377357891	611.8
-70.59	-23.32	6.14450257403717	33
147.34	-5.03	6.14450257403717	31.2
105.39	-6.53	6.14365392764178	45
152.11	-6.66	6.14308677828393	10
-71.4	-16.12	6.13879737161366	136.2
123.54	-8.9	6.13879737161366	111
148.48	-3.11	6.13850913898199	10
166.42	-11.5	6.13590205093981	148
-65.71	-17	6.13297748410773	33
130.22	-6.29	6.13297748410773	109
126.44	5.36	6.13297748410773	35
-63.28	-19.83	6.13061637292184	582.4
-71.73	-32.46	6.13031987555378	18
122.46	-1.72	6.13002307424168	33
125.61	4.08	6.12853448662015	150
144.76	11.77	6.12703820600518	33
99.72	-1.59	6.12688815176259	30
142.93	-3.3	6.12553415246903	10
125.9	10.17	6.12417379137001	33
124.24	13.27	6.12402224483182	80
-76.96	-5.58	6.1231112960323	114.4
-69.53	-18.3	6.12250240063522	114
167.26	-14.65	6.12250240063522	153.2
126.41	3.84	6.1209745361155	30.1
145.43	-4.98	6.1209745361155	222
108.32	-9.42	6.11974641272749	21
100.32	1.28	6.11943856617579	211
125	-0.19	6.11866751470916	35
138.89	29.93	6.11835851825016	421.9
152.15	-5.49	6.11789440435766	33
140.08	-3.73	6.11603047310508	20
146.31	-3.37	6.11478115226868	10
168.27	-17.07	6.11478115226868	221
-29.14	-55.24	6.11321188200636	10
128.43	2.64	6.11289700470006	38
-24.98	-57.09	6.11163405982029	10
-74.36	-13.93	6.11131746093188	101.4
128.22	3.04	6.11036558175799	100
143.14	-3.24	6.10861230020937	12
136.28	-2.99	6.10845238324612	53
-71.71	-31.59	6.10426323336007	22.8
146.81	-6.34	6.10393846646724	43.4
125.02	-0.15	6.10361333487259	66.2
129.81	-7.15	6.10328783775613	95
-63.1	-27.93	6.10279890492741	575.2
-178.37	-18.09	6.10149103300451	628
-25.34	-57.98	6.09951808053456	63.9
105.22	-6.53	6.0973654337811	38
-72.03	-33.61	6.0970328321884	28
145.66	-3.52	6.09536406875253	33
-178.81	-17.38	6.09402209807843	531.3
97.61	-1.11	6.0936856312717	38
-76.28	-14.49	6.0919974069281	33
-31.75	-55.28	6.0919974069281	10
152.96	-4.31	6.0919974069281	28
131.21	-5.53	6.08859113640911	83
127.22	1.55	6.08859113640911	77
144.98	18.86	6.08687285448391	598
146.95	-5.41	6.08670046409203	216.8
-65.84	-28.57	6.08652797099512	22.3
153.17	-5.33	6.08340539202671	43.8
-179.65	-17.89	6.08077726819066	622.6
-68.33	-22.41	6.07971930238033	121.6
-70.65	-26.11	6.07830264069352	68.5
140.97	29.64	6.07741369417203	98.5
-70.92	-27.9	6.07652200989901	20
-25.47	-57.78	6.07634334302842	33
126.94	-0.99	6.07616456583558	30.2
-70.48	-19.58	6.07544835111142	25
-26.56	-56.6	6.07455058402123	109
-68.39	-21.35	6.07274665510395	130.1
125.06	12.81	6.07274665510395	29
122.45	-7.28	6.07238451665198	528.2
126.68	4.14	6.07220327742565	25
100.56	-3.27	6.06983678483565	21
-75.69	-14.84	6.06910472463628	33
126.34	9.78	6.06910472463628	33
-72.29	-29.45	6.06726643493949	12
111.11	-8.5	6.06726643493949	79
129.02	-6.74	6.06726643493949	215.6
135.05	-4.38	6.06726643493949	33
117.62	3.63	6.06689737223228	9
167.41	-15.09	6.06504496889103	151.3
105.21	-6.31	6.06355446544686	10
119.96	-7.26	6.06336761183947	536.8
-24.71	-58.74	6.0626189891739	35
126.36	1.09	6.06168048055764	33
-66.3	-22.98	6.06130422364361	256.1
-74.38	-7.93	6.05521664790979	152.1
-71.31	-9.33	6.05406083937045	598
-62.94	-28.38	6.05406083937045	609.8
-45.97	-53.02	6.05406083937045	10
-104.82	-4.65	6.05328772901896	9.6
146.68	-3.47	6.0530941284403	6.9
102.18	-2.65	6.05290039831959	149.9
-66.25	-19.52	6.05212417894151	273.9
142.68	-3.31	6.05212417894151	10
141.97	30.99	6.05212417894151	9
151.45	-6	6.05115096910215	6.3
129.93	-7.21	6.05056546909554	67.3
145.39	18.77	6.05037003901414	225
122.32	-0.51	6.05017447692997	31.5
151.87	-5.59	6.05017447692997	33
140.45	-2.09	6.04821155649879	36
-71.91	-30.46	6.04623523718962	33
167.19	-14.31	6.04444494162516	115
118.66	-11.16	6.04424533482332	33
35.14	-45.83	6.04103276755452	16
129.33	-1.11	6.04022402497671	33
-28.03	-56.02	6.03941301701056	140.2
-74.26	-8.41	6.03880326672286	144.6
141.69	12.31	6.03880326672286	104
-77.05	-45.76	6.03614607510359	9
140.46	26.27	6.03614607510359	388
153.45	-5.38	6.03408535711883	33
1.76	-54.67	6.0324261568497	10
107.49	-7.94	6.02991939093416	51
113.54	-10.41	6.02991939093416	33
119.54	0.2	6.0278137114376	33
