id|Tag|Authors|Year|Title|Journal|No|Pages|DOI|Link|Comment
85|Bastow2007|Bastow, I.D., T.J., Owens, G., Helffrich, J.H., Knapp|2007|Spatial and temporal constraints on sources of seismic anisotropy: Evidence from the Scottish highlands|Geophys. Res. Lett.|34| |doi:10.1029/2006GL028911| |Silver & Chan (1991), minimum energy
86|Huang2000|Huang, W.C., Ni, J.F., Tilmann, F., Nelson, D., Guo, J., Zhao, W., Mechie, J., Kind, R., Saul, J., Rapine, R., Hearn, T.M.|2000|Seismic polarization anisotropy beneath the central Tibetan plateau|J. Geophys. Res.|105|27979-27989| | |Silver & Chan (1991), minimum energy
87|Zhao2005|Zhao, L., Zheng, T.|2005|Using shear wave splitting measurements to investigate the upper mantle anisotropy beneath the North China craton: distinct variation from east to west|Geophys. Res. Lett.|32| |doi:10.1029/2005GL022585| |Silver & Chan (1991), minimum energy
88|Flesch2005|Flesch, L.M., Holt, W.E., Silver, P.G., Stephenson, M., Wang, C.Y., Chan, W.W.|2005|Constraining the extent of crust-mantle coupling in central Asia using GPS, geologic and shear wave splitting data|Earth Planet. Sci. Lett.|238|248-268| | |Silver & Chan (1991), minimum energy
89|Barruol2001|Barruol, G., Ben Ismail, W.|2001|Upper mantle anisotropy beneath the African IRIS and Geoscope stations|Geoph. J. Int.|146|549-561| | |Silver & Chan, minimum energy
90|Guilbert1996|Guilbert, J., Poupinet, G., Mei, J.|1996|A study of azimuthal P residuals and shear-wave splitting across the Kunlun range (Northern Tibetan plateau)|Phys. Earth Planet. Int.|95|167-174| | |Rotation Correlation
91|Li2006|Li, A., Chen, C.|2006|Shear wave splitting beneath the central Tian Shan and its tectonic implications|Geophys. Res. Lett.|33| |doi:10.1029.2006GL027717| |Silver & Chan, minimum energy
92|Fontaine2005|Fontaine, F.R., Hooft, E.E.E., Burkett, P.G., Toomey, D.R., Solomon, S.C., Silver, P.G.|2005|Shear-wave splitting beneath the Galapagos archipelago|Geophys. Res. Lett.|32| |10.1029/2005GL024014| |Silver and Chan (1991) and stacking method (Wolfe and Silver, 1998)
93|Hammond05|Hammond, J.O.S., Kendall, J-M., Rumpker, G., Wookey, J., Teanby, N., Joseph, P., Ryberg, T., Stuart, G.|2005|Upper mantle anisotropy beneath the Seychelles microcontinent|J. Geophys. Res.|110| |10.1029/2005JB003757|http://earth.leeds.ac.uk/~ear9josh/Hammond_et_al_2005.pdf|Cluster analysis method of Teanby (2004)
94|Liu1995|Liu, H., Davis, P.M., Gao, S.|1995|SKS splitting beneath southern California|Geophysical Research Letters|22|767-770| |http://web.umr.edu/~liukh/publications/Liu_Davis_Gao_jrl95.pdf| 
